天下	(tiān xià) throughout the world
免不了	(miǎn bu liǎo) can not be avoided
如此	(rú cǐ) like this; so, such
轻声	(qīng shēng) neutral tone
十分	(shífēn) very
譬如	(pìrú) for example
报酬	(bào chou) pay, reward
报仇	(bào chóu) revenge; avenge
警察	(jǐngchá) police
丫头	(yātou) small girl; slave girl
哭笑不得	(kū xiào bùdé) not know whether to laugh or cry
停顿	(tíngdùn) pause
文章	(wénzhāng) article; writing
哈佛	(hāfó) Harvard University
引起	(yǐnqǐ) give rise to; lead to; arouse
讨论	(tǎolùn) discussion; discuss
性	(xìng) sex
范围	(fànwéi) range; scope
灵魂	(línghún) spirit; soul
方向	(fāngxiàng) direction
误解	(wùjiě) misunderstanding
故事	(gùshi) story
看	(kàn) look after; guard
吻	(wěn) kiss
船	(chuán) ship; boat
跟...吹了	(gēn...chuī le) break up with
暑假	(shǔ jià) summer vacation
干嘛	(gànma?) what to do; why (on earth)
心想	(xīnxiǎng) think (at heart)
考验	(kǎo yàn) test; trial
于是	(yúshì) hence; consequently
像样	(xiàngyàng) presentable; decent
开口	(kāikǒu) ask for a favor
失望	(shīwàng) disappointed
算	(suàn) count as; regard as
安慰	(ānwèi) comfort
女生	(nǚshēng) female student
打招呼	(dǎ zhāo hu) say hello (to); greet
旅游	(lǚyóu) tour; travel
骗	(piàn) cheat
发火	(fāhuǒ) get angry; lose one's temper
连忙	(liánmáng) promptly; at once
解释	(jiěshì) explain
道	(dào) say
一刀两断	(yìdāoliǎngduàn) make a clean break (in a relationship)
糊里糊涂	(húli hútu) confused