取	(Qû) take; get
暂时	(Zànshí) for the moment
保管	(Bâoguân) to take care of; to keep
立即	(Lìjí) immediately; at once
糟糕	(Zāogāo) terrible; aweful; too bad
查看	(chákàn) to check; to look over
差错	(Chācuò) mistake; error
出门	(chūmén) to go out
举手之劳	(jûshôuzhīláo) to lift a finger
弄	(nòng) to manage; to get; to handle
罢工	(bàgōng) to (go on) strike; to walk off the job
效劳	(xiàoláo) to service; to work for
荣幸	(róngxìng) honored; priviledged
倒霉	(dâoméi) unlucky; unfortunate
撞	(zhuàng) to collide; to strike; to bump into
幸运	(xìngyùn) fortunate; lucky
擦伤	(cāshāng) (ESP for skin) brush burn
淋	(lín) to sprinkle; to pour
落汤鸡	(luòtāngjī) a drowned rat
顺	(shùn) smooth
掏	(tāo) to take out; fish out; hollow out
刮	(guā) to shave; to scrape
自认	(zìrèn) to confess; to own
放弃	(fàngqì) to give up; to abandon
追赶	(zhuīgân) to run after; to catch
同病相怜	(tóngbìng-xiānglián) similarly afflicted people pity each other
调整	(tiáozhêng) to adjust/adjustment
情绪	(qíngxù) mood; emotion
意外	(yìwài) unexpected/ accident; unforeseen/suddenness
报酬	(bàochou) reward; pay; remuneration
挺	(tîng) very