先生	(xiān.sheng) husband
末期	(mòqī) last phase; final phase
来往	(láiwǎng) communication; relations
海峡	(hǎixiá) strait
海峡两岸	(hǎixiá liǎng'àn) Taiwan Straight (the coasts between mainland China and Taiwan)
讨论	(tǎolùn) discuss
忽略	(hūlüè) neglect
大同小异	(dàtóng xiǎoyì) largely identical (but with minor differences)
毫无	(háowú) not in the least
产生	(chǎnshēng) produce (or give rise to)
误会	(wùhuì) misunderstand
结婚	(jié//hūn) get married
变成	(biànchéng) become; turn into
立刻	(lìkè) immediately; right away
计程车	(jìchéngchē) taxi
冷气	(lěngqì) AC
电脑	(diànnǎo) computer
说法	(shuō.fa) wording; way of saying
国语	(guóyǔ) national language
例子	(lì.zi) example
注音符号	(zhùyīn fúhào) old chinese alphabet (used before the Chinese phonetic alphabet)
汉语拼音	(Hànyǔ pīnyīn) Chinese phonetic alphabet
保留	(bǎoliú) retain; continue to have; keep
形式	(xíngshì) form
接触	(jiēchù) come into contact with
报纸	(bàozhǐ) newspaper
相信	(xiāngxìn) believe
交往	(jiāowǎng) contact; association; associate with