发福	(fā//fú) gain weight
减肥	(jiǎn//féi) go on a diet
见面	(jiàn//miàn) meet (somebody)
胖	(pàng) become fat
近来	(jìnlái) recently
福气	(fú.qi) good fortune
恭维	(gōng.wei) compliment
客套话	(kètàohuà) polite expressions (civilities)
胖子	(pàng.zi) fat person
小孩儿	(xiǎohǎir) kid; child
岁	(suì) (age unit) years old
公斤	(gōngjīn) kg
营养	(yíngyǎng) nutrition
不良	(bùliáng) (mal-) bad
肥胖	(féipàng) obesity
居民	(jūmín) resident
烦恼	(fánnǎo) worries; vexation (and verb forms)
气功	(qìgōng) (a system of) deep breathing
练气功	(liàn qìgōng) practice qigong
爬山	(pá//shān) climb mountains
反而	(fǎn'ér) on the contrary; instead
瘦	(shòu) thin
爱护	(àihù) cherish; treasure
独生子女	(dúshēng zǐnǚ) only child
缘故	(yuán gù) cause; reason
负	(fù) bear (carry on back)
负责任	(fù zérèn) be responsible for
汉堡包	(hànbǎobāo) hamburger
炸薯条	(zhá shǔtiáo) french fries
巧克力	(qiǎokèlì) chocolate
糖	(táng) candy; sugar
冰激凌	(bīng.jī líng) ice cream
可口可乐	(kěkǒukělè) Coca Cola
腻	(nì) greasy
有害	(yǒuhài) harm (-ful)
食物	(shíwù) food
爱	(ài) love to
商人	(shāngrén) businessman
以及	(yǐjì) and (used in writing)
基础	(jīchǔ) foundation