老年人	lǎoniánrén - elderly people, senior citizens
流行	liúxíng - popular
天堂	tiān táng--heaven; paradise
战场	zhànchǎng － battlefield
坟场	fénchǎng - graveyard
大致	dà zhì － more or less / roughly / approximately
年龄	nián líng - age
注重	zhù zhòng - pay attention to; emphasize
升学	shēng xué － enter a higher leveled school
至于	zhìyú (prep. as for)
激烈	jīliè (adj. intense; fierce)
必须	bì xū － to have to / must
尽	jìn － exert; exhaust
淘汰	táo tài (to eliminate through selection or competition)
反对	fǎnduì － to oppose
敬老院	jìnglǎoyuàn － old folk's home; home for the aged
不见得	bú jiàn de (not necessarily)
自愿	zìyuàn － voluntary; of ones free will
满意	mǎn yì － to be satisfied / to be pleased / satisfied / pleased
独立	dú lì - independent / independence / to stand alone
尊严	zūnyán － dignity; honor
加重	jiā zhòng－ increase, aggravate
负担	fùdān - burden
三代同堂	sān dài tóng táng (3 generations under 1 roof)
晚年	wǎnnián － old age, one's later (or remaining) years
孝顺	xiào shùn (filial piety)
挤	jǐ - crowded; to push against; to squeeze
单元	dān yuán－ unit or chapter
摩擦	mó cā － friction
工业化	gōngyèhuà － industrialization
快速	kuàisù (high-speed, fast)
反映	fǎnyìng - reflect
努力	nǔ lì － great effort / strive / try hard
相当	xiāngdāng (adv. quite, fairly, considerably)
理想	lǐxiǎng - ideal
一再	yīzài (again and again, repeatedly)
宁可	nìngkě - would rather
现代化	xiàn dài huà － modernization
取代	qǔdài | replace
祖父母	zǔfùmǔ (paternal grandparents)
失去	shīqù - v. to lose （abstract)
表示	biǎo shì - to show; to express
产生	chǎnshēng － to produce; emerge; to cause
渐渐	Jiànjiàn (gradually)