普通	(pǔtōng) common; ordinary
普通话	(pǔtōnghuà) putonghua
规范	(guīfàn) standard; normal, norm
规范字	(guīfànzì) standardized characters
空洞	(kōngdòng) empty; hollow; devoid of content
口号	(kǒuhào) slogan; watchword
有意义	(yǒuyìyì) meaningful; significant
存在	(cúnzài) exist
方言	(fāngyán) dialect
南腔北调	(nánqiāng běidiào) some speak with souther accents and some with northern tunes
说明	(shuōmíng) explain; show
多	(duō) multi-
国家	(guójiā) country; state; nation
县	(xiàn) county
现象	(xiànxiàng) phenomenon
造成	(zàochéng) cause; create; give rise to
与	(yǔ) and
A 与 B 之间	(..yǔ... zhījiān) between A and B
沟通	(gōutōng) communicate
远见	(yuǎnjiàn) foresight; vision
有远见	(yǒuyuǎnjiàn) foresighted
知识分子	(zhīshi fènzǐ) intellectual; the intelligentsia
提倡	(tíchàng) advocate; promote
国语	(guóyǔ) mandarin chinese
过去	(guòqù) past, in the past; formerly
推行	(tuīxíng) carry out; practice
成绩	(chéngjì) achievement; grade
理想	(lǐxiǎng) ideal
新闻	(xīnwén) news
屏幕	(píngmù) tv screen
打	(dǎ) add subtitles
字幕	(zìmù) captions; subtitles
自从	(zìcóng) since
简体字	(jiǎntǐzì) simplified chinese characters
繁体字	(fántǐzì) traditional chinese characters
创造	(chuàngzào) create from nothing; produce; bring about
汉字	(hànzì) chinese characters
同一	(tóngyī...) the same...
写法	(xiěfǎ) way of writing
书写	(shūxiě) write
带来	(dàilái) bring about; bring along; produce
混乱	(hùnluàn) chaos; confusion, in chaos
辨识	(biànshí) distinguish and recognize
因此	(yīncǐ) therefore; hence
那么	(nàme) then; so
有效	(yǒuxiào) effective
办法	(bànfǎ) way; means; measure
光	(guāng) only; alone; merely
靠	(kào) depend on; rely on
宣传	(xuānchuán) propaganda, propagandize
不够	(búgòu) not enough
广播	(guǎngbō) radio broadcast, broadcast
农村	(nóngcūn) countryside; rural area
收看	(shōukàn) watch
收听	(shōutīng) listen to
自然	(zìrán) naturally, natural
深入	(shēnrù) go deep into