向上	(xiàngshàng) make progress; go upward
所	(suǒ) MW for school and hospital
小学	(xiǎoxué) elementary school
牌子	(páizi) plate; sign
毛主席	(máozhǔxí) Chairman Mao
到处	(dàochù) everywhere; at all places
各种各样	(gèzhǒng gèyàng) all kinds of
标语	(biāoyǔ) slogan
做人	(zuòrén) be an upright person
勿	(wù) do not
随地	(suídì) anywhere; everywhere
吐痰	(tǔtán) spit; expectorate
平安	(píngān) safe and sound; without mishap
有关	(yǒuguān) have something to do with; relate to; concern
世纪	(shìjì) century
年代	(niándài) a decade, age; era
政治	(zhèngzhì) politics
政治性	(zhèngzhìxìng) political nature
大大地	(dàdàde) greatly
减少	(jiǎnshǎo) decrease; reduce
商业	(shāngyè) commerce; trade; business
商业性	(shāngyèxìng) commercial nature
广告	(guǎnggào) advertisement
道德	(dàodé) morals; morality; ethics
天安门	(tiānānmén) Gate of Heavenly Peace
中华人民共和国	(zhōng huá rénmín gòng hé guó) People's Republic of China
万岁	(wànsuì) long live
人民	(rénmín) people
团结	(tuánjié) unite; rally
雷锋	(léifēng) Lei Feng
教训	(jiàoxun) lesson; moral
信息	(xìnxī) information; message
意味	(yìwèi) meaning; implication
政府	(zhèngfǔ) government
全	(quán) whole; entire; total
提出	(tíchū) put forward; advance; raise
讲	(jiǎng) stress; pay attention to; be particular about
文明	(wénmíng) civilization; culture
讲文明	(jiǎngwénmíng) stress on decorum
树	(shù) set up; establish
新风	(xìnfeng) new practice; new custom
树新风	(shùxīnfēng) foster healthy tendencies
改掉	(gǎidiào) give up; drop
乱	(luàn) randomly; arbitrarily
倒	(dào) pour out; empty
垃圾	(lājī) garbage; rubbish
随便	(suíbiàn) carelessly
停放	(tíngfàng) park; place
了解	(liǎojiě) understand
思想	(sīxiǎng) thinking; thought
值得	(zhídé) be worth; deserve
题目	(tímù) title; subject; topic