厕所	(cèsuǒ) toilet; restroom
比方	(bǐfāng) for instance
上厕所	(shàngcèsuǒ) go to the bathroom
马桶	(mǎtǒng) toilet
蹲	(dūn) squat on your heels
久	(jiǔ) long; for a time
腿	(tuǐ) leg
受不了	(shòu.bu liǎo) cannot stand (or endure)
卫生	(wèishēng) hygienic; sanitary
得	(dé) contract an illness
传染病	(chuánrǎnbìng) infectious disease
为	(wèi) for
市民	(shìmín) citizen; urban dweller
行人	(xíngrén) pedestrian
免费	(miǎnfèi) free of charge
既...也...	(jì...yě...) both...and; as well as
卫生纸	(wèishēngzhǐ) toilet paper
洗手台	(xǐshǒutái) sink (restroom)
闻	(wén) smell
股	(gǔ) MW for strength, smell
臭味儿	(chòuwèir) bad smell; stench
找	(zhǎo) look for; try to find; seek
动作	(dòngzuò) movement; notion; action
大概	(dàgài) generally; approximately; perhaps
报	(bào) newspaper
收费	(shōufèi) collect a fee; charge
到	(dào) up to
出门	(chū//mén) go out
随身	(suíshēn) (carry) on one's person
着	(.zhe) adverbial particle
零钱	(língqián) small change
改变	(gǎibiàn) change; alter
臭	(chòu) smelly; stinking
脏	(zāng) dirty; filthy
大部分	(dà bù.fen) most
进步	(jìnbù) advance; progress; improvement